message_id,processed_date,received_date,sender,subject,rule_id,rule_name,mailbox_action,mailbox_verification,notes
EMAIL-0063,2026-06-26,2026-06-08,"Maes, Cari S",Student_parents] Reminder: last AY25-26 Beaver Family Connections TOMORROW,AUTO-COLD-003,Student parent events,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0064,2026-06-26,2026-06-09,"Batten, Christina via ece-ungrads",This Week @ EECS,AUTO-COLD-007,EECS weekly digests,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0065,2026-06-26,2026-06-09,EECS Student Resources,This Week in EECS: EECS Student Resources,AUTO-COLD-007,EECS weekly digests,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0066,2026-06-26,2026-06-09,"Yelle, Robert Brian via cluster-users","CoE HPC News, June 9, 2026: Submit nodes reboot, Cluster maintenance",AUTO-COLD-009,HPC news and status,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0070,2026-06-26,2026-06-11,Oregon State Career Development Center,June 2026 | You accomplished so much this year! ✅ Here's how to add it to your resume.,AUTO-COLD-002,Handshake and Career Development promos,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0071,2026-06-26,2026-06-15,Xfinity,Your bill statement is ready,AUTO-COLD-004,Xfinity notices,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0075,2026-06-26,2026-06-22,Behance,"Jake, New Inspiration For You: June 22, 2026",AUTO-COLD-001,Behance inspiration,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0076,2026-06-26,2026-06-22,"Batten, Christina via ece-ungrads",This Week @ EECS,AUTO-COLD-007,EECS weekly digests,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0077,2026-06-26,2026-06-22,EECS Student Resources,This week in EECS: EECS Student Resources,AUTO-COLD-007,EECS weekly digests,marked_read,verified exact unread searches returned no matching unread result after auto-cold read-state pass,Auto-colded from staged surface metadata; no full body read.
EMAIL-0087,2026-06-30,2026-06-15 09:52,"King, Kristi",Family Resource Center Feedback,AUTO-COLD-003,Student parent events,marked_read,verified exact unread search returned no result; message was already read,Auto-colded from staged surface metadata; no full body read.
EMAIL-0088,2026-06-30,2026-06-15 11:50,Behance,"Jake, New Inspiration For You: June 15, 2026",AUTO-COLD-001,Behance inspiration,marked_read,verified exact unread search returned no result; message was already read,Auto-colded from staged surface metadata; no full body read.
EMAIL-0101,2026-06-30,2026-06-23 14:28,Handshake,Don’t lose access to your Handshake account after graduation,AUTO-COLD-002,Handshake and Career Development promos,marked_read,verified exact unread search isread:no received:6/23/2026 subject Handshake returned no exact result; message was already read,Auto-colded from staged surface metadata; no full body read.
EMAIL-0118,2026-06-30,2026-06-28 06:23,MathWorks,MATLAB & Simulink R2026b Prerelease for Your License,AUTO-COLD-006,MathWorks product mail,marked_read,verified exact unread searches returned no exact result after read-state cleanup,Auto-colded from staged surface metadata; no full body read.
EMAIL-0119,2026-06-30,2026-06-28 11:18,Xfinity,Your personalized WiFi summary,AUTO-COLD-004,Xfinity notices,marked_read,verified exact unread searches returned no exact result after read-state cleanup,Auto-colded from staged surface metadata; no full body read.
EMAIL-0131,2026-06-30,2026-06-29 11:38,Behance,"Jake, New Inspiration For You: June 29, 2026",AUTO-COLD-001,Behance inspiration,marked_read,verified exact unread searches returned no exact result after read-state cleanup,Auto-colded from staged surface metadata; no full body read.
EMAIL-0139,2026-06-30,2026-06-30 08:22,"Batten, Christina via ece-ungrads",This Week @ EECS,AUTO-COLD-007,EECS weekly digests,marked_read,verified exact unread searches returned no exact result after read-state cleanup,Auto-colded from staged surface metadata; no full body read.
EMAIL-0140,2026-06-30,2026-06-30 10:39,EECS Student Resources,This Week in EECS: EECS Student Resources,AUTO-COLD-007,EECS weekly digests,marked_read,verified exact unread searches returned no exact result after read-state cleanup,Auto-colded from staged surface metadata; no full body read.
EMAIL-0151,2026-07-02,2026-07-02 16:04,Handshake,"Try Google AI Plus for a year, on us",AUTO-COLD-002,Handshake and Career Development promos,marked_read,"verified exact unread search isread:no ""Try Google AI Plus for a year"" returned no results",Auto-colded from staged surface metadata; no full body read.
