evidence_id,task_id,course_code,source_surface,module_title,group_name,canvas_type,due,href,evidence_text
ev-00011,MTH-252-gradescope-submission-using-computer-no-audio,MTH-252,modules,Start Here,,External Tool,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982530,External Tool Gradescope Submission Using Computer (no audio) Gradescope Submission Using Computer (no audio) 11 must_view context_external_tool 26982530 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00012,MTH-252-start-here-where-to-go-for-help,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982531,Page Start Here — Where to go for help? Start Here — Where to go for help? 12 wiki_page 26982531 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00013,MTH-252-start-here-accessibility-statements-privacy-policies,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982532,Page Start Here — Accessibility Statements & Privacy Policies Start Here — Accessibility Statements & Privacy Policies 13 wiki_page 26982532 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00014,MTH-252-start-here-sources-cited,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982533,Page Start Here — Sources Cited Start Here — Sources Cited 14 wiki_page 26982533 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00015,MTH-252-start-here-conclusion,MTH-252,modules,Start Here,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982534,Page Start Here — Conclusion Start Here — Conclusion 15 wiki_page 26982534 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00016,MTH-252-q-a-discussion,MTH-252,modules,Start Here,,Discussion Topic,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982539,Discussion Topic Q&A Discussion Q&A Discussion 16 discussion_topic 26982539 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00017,MTH-252-website-mslc-peer-tutoring,MTH-252,modules,Tutoring Support and Course Resources,,External Url,,https://math.oregonstate.edu/undergraduate/mathematics-statistics-learning-center,External Url Website: MSLC --> Peer tutoring Website: MSLC --> Peer tutoring 1 external_url 26982535 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00018,MTH-252-mslc-summer-tutoring-hours-pdf,MTH-252,modules,Tutoring Support and Course Resources,,Attachment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982536,Attachment MSLC Summer Tutoring Hours.pdf MSLC Summer Tutoring Hours.pdf 2 attachment 26982536 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00019,MTH-252-how-to-videos,MTH-252,modules,Tutoring Support and Course Resources,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982537,Page How-To Videos How-To Videos 3 wiki_page 26982537 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00020,MTH-252-camscanner-making-one-pdf-with-multiple-pages-links-to-an-external-site,MTH-252,modules,Tutoring Support and Course Resources,,External Url,,https://youtu.be/aP78GQc9gNA,External Url CamScanner: Making ONE pdf with multiple pages Links to an external site. CamScanner: Making ONE pdf with multiple pages 4 external_url 26982538 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00021,MTH-252-review-optional-3-3-differentiation-rules,MTH-252,modules,MTH 251 Review **Optional**,,External Tool,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982540,External Tool Review (Optional) - 3.3 Differentiation Rules Review (Optional) - 3.3 Differentiation Rules 1 context_external_tool 26982540 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00022,MTH-252-review-optional-3-5-derivatives-of-trigonometric-functions,MTH-252,modules,MTH 251 Review **Optional**,,External Tool,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982541,External Tool Review (Optional) - 3.5 Derivatives of Trigonometric Functions Review (Optional) - 3.5 Derivatives of Trigonometric Functions 2 context_external_tool 26982541 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00023,MTH-252-review-optional-3-6-the-chain-rule,MTH-252,modules,MTH 251 Review **Optional**,,External Tool,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982542,External Tool Review (Optional) - 3.6 The Chain Rule Review (Optional) - 3.6 The Chain Rule 3 context_external_tool 26982542 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00024,MTH-252-review-optional-3-9-derivatives-of-exponential-and-logarithmic-functions,MTH-252,modules,MTH 251 Review **Optional**,,External Tool,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982543,External Tool Review (Optional) - 3.9 Derivatives of Exponential and Logarithmic Functions Review (Optional) - 3.9 Derivatives of Exponential and Logarithmic Functions 4 context_external_tool 26982543 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00025,MTH-252-module-1-overview,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982544,Page Module 1 — Overview Module 1 — Overview 1 wiki_page 26982544 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00026,MTH-252-module-1-learning-materials-and-practice-activities-3-5-hours,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982545,Page Module 1 — Learning Materials and Practice Activities 🕓 3 - 5 hours Module 1 — Learning Materials and Practice Activities 🕓 3 - 5 hours 2 wiki_page 26982545 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00027,MTH-252-dr-g-s-lecture-notes-sect-1-1-and-1-2,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Attachment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982546,Attachment Dr. G's Lecture Notes--> Sect. 1.1 and 1.2 Dr. G's Lecture Notes--> Sect. 1.1 and 1.2 3 attachment 26982546 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00028,MTH-252-dr-g-s-videos-1-1,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982547,Page Dr. G's Videos --> 1.1 Dr. G's Videos --> 1.1 4 wiki_page 26982547 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00029,MTH-252-pre-class-reading-quiz-1-1-rq-1-1,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Quiz,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982548,Quiz Pre-Class Reading Quiz - 1.1 (RQ-1.1) Pre-Class Reading Quiz - 1.1 (RQ-1.1) 10 5 quiz 26982548 1 Jun 29 10 pts Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00030,MTH-252-module-1-written-homework-whw-1-2-hours,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Assignment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982549,Assignment Module 1 — Written Homework (WHW 1) 🕓 2 hours Module 1 — Written Homework (WHW 1) 🕓 2 hours 20 6 assignment 26982549 1 Jun 29 20 pts Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00031,MTH-252-intro-reflect-1,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Assignment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982550,Assignment Intro Reflect 1 Intro Reflect 1 100 7 assignment 26982550 1 Jun 29 100 pts Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00032,MTH-252-achieve-1-1-approximating-areas,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Assignment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982551,Assignment Achieve - 1.1 Approximating Areas Achieve - 1.1 Approximating Areas 100 8 assignment 26982551 1 Jun 29 100 pts Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00033,MTH-252-module-1-discussion-reflection-whw-1-0-25-hour,MTH-252,modules,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",,Discussion Topic,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982552,Discussion Topic Module 1 — Discussion Reflection: WHW 1 🕓 0.25 hour Module 1 — Discussion Reflection: WHW 1 🕓 0.25 hour 15 9 discussion_topic 26982552 1 Jul 2 15 pts Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00034,MTH-252-module-2-overview,MTH-252,modules,Module 2: Intro to Definite Integral and Properties,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982553,Page Module 2 — Overview Module 2 — Overview 1 wiki_page 26982553 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00035,MTH-252-module-2-learning-materials-and-practice-activities-3-5-hours,MTH-252,modules,Module 2: Intro to Definite Integral and Properties,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982554,Page Module 2 — Learning Materials and Practice Activities 🕓 3 - 5 hours Module 2 — Learning Materials and Practice Activities 🕓 3 - 5 hours 2 wiki_page 26982554 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00036,MTH-252-dr-g-s-lecture-notes-weeks-1-2,MTH-252,modules,Module 2: Intro to Definite Integral and Properties,,Attachment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982555,"Attachment Dr. G's Lecture Notes--> Weeks 1, 2 Dr. G's Lecture Notes--> Weeks 1, 2 3 attachment 26982555 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete"
ev-00037,MTH-252-dr-g-s-videos-1-2,MTH-252,modules,Module 2: Intro to Definite Integral and Properties,,Page,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982556,Page Dr. G's Videos --> 1.2 Dr. G's Videos --> 1.2 4 wiki_page 26982556 0 Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00038,MTH-252-pre-class-reading-quiz-1-2-rq-1-2,MTH-252,modules,Module 2: Intro to Definite Integral and Properties,,Quiz,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982557,Quiz Pre-Class Reading Quiz - 1.2 (RQ-1.2) Pre-Class Reading Quiz - 1.2 (RQ-1.2) 10 5 quiz 26982557 1 Jul 6 10 pts Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00039,MTH-252-module-2-written-homework-whw-2-3-hours,MTH-252,modules,Module 2: Intro to Definite Integral and Properties,,Assignment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982558,Assignment Module 2 — Written Homework (WHW 2) 🕓 3 hours Module 2 — Written Homework (WHW 2) 🕓 3 hours 20 6 assignment 26982558 1 Jul 6 20 pts Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
ev-00040,MTH-252-reflection-2,MTH-252,modules,Module 2: Intro to Definite Integral and Properties,,Assignment,,https://canvas.oregonstate.edu/courses/2080857/modules/items/26982559,Assignment Reflection 2 Reflection 2 100 7 assignment 26982559 1 Jul 6 100 pts Score at least Must score at least to complete this module item Scored at least Module item has been completed by scoring at least Score at least % Must score at least % to complete this module item Scored at least % Module item has been completed by scoring at least % View Must view in order to complete this module item Viewed Module item has been viewed and is complete Mark done Must mark this module item done in order to complete Marked done Module item marked as done and is complete Contribute Must contribute to this module item to complete it Contributed Contributed to this module item and is complete Submit Must submit this module item to complete it Submitted Module item submitted and is complete
