module_id,course_id,course_code,module_order,module_title,source_page_id,source_url,module_item_count
mod-mth-252-011-module-5-techniques-to-solve-integrals,2080857,MTH-252,11,Module 5: Techniques to Solve Integrals,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,11
mod-mth-252-012-module-6-techniques-continued,2080857,MTH-252,12,Module 6: Techniques Continued,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,10
mod-mth-252-013-mini-exam-3-available-tuesday-thursday-of-week-7,2080857,MTH-252,13,Mini-Exam 3: Available Tuesday - Thursday of Week 7,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,1
mod-mth-252-014-module-7-applications-of-integration-graphical,2080857,MTH-252,14,Module 7: Applications of Integration - Graphical,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,11
mod-mth-252-015-module-8-application-of-integration-graphical-and-real-world,2080857,MTH-252,15,Module 8: Application of Integration - Graphical and Real-World,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,11
mod-mth-252-016-mini-exam-4-available-tuesday-thursday-of-week-9,2080857,MTH-252,16,Mini-Exam 4: Available Tuesday - Thursday of Week 9,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,1
mod-mth-252-017-module-9-applications-of-integration-real-world,2080857,MTH-252,17,Module 9: Applications of Integration - Real-World,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,9
mod-mth-252-018-module-10-applications-of-integration-real-world,2080857,MTH-252,18,Module 10: Applications of Integration - Real World,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,9
mod-mth-252-019-final-exam-available-monday-wednesday-of-week-11,2080857,MTH-252,19,Final Exam: Available Monday - Wednesday of week 11,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,6
mod-mth-252-020-intro-to-calculus,2080857,MTH-252,20,Intro to Calculus,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,1
mod-mth-252-021-1-1-approximating-area-under-the-curve,2080857,MTH-252,21,1.1 Approximating Area Under the Curve,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,10
mod-mth-252-022-1-2-definite-integrals,2080857,MTH-252,22,1.2 Definite Integrals,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,11
mod-mth-252-023-1-3-fundamental-theorem-of-calculus-i-ii-antiderivatives,2080857,MTH-252,23,1.3 Fundamental Theorem of Calculus I & II / Antiderivatives,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,13
mod-mth-252-024-1-3-continued-working-with-integrals,2080857,MTH-252,24,1.3 - Continued: Working with Integrals,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,5
mod-mth-252-025-1-4-integration-formulas-and-net-change,2080857,MTH-252,25,1.4 Integration Formulas and Net Change,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,8
mod-mth-252-026-1-5-substitution-u-sub,2080857,MTH-252,26,1.5 Substitution (u-sub),00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,12
mod-mth-252-027-1-6-exponentials-and-logarithms,2080857,MTH-252,27,1.6 Exponentials and Logarithms,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,4
mod-mth-252-028-3-1-integration-by-parts,2080857,MTH-252,28,3.1 Integration by Parts,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,11
mod-mth-252-029-3-2-trigonometric-integrals,2080857,MTH-252,29,3.2 Trigonometric Integrals,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,7
mod-mth-252-030-3-3-trigonometric-substitution,2080857,MTH-252,30,3.3 Trigonometric Substitution,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,8
mod-mth-252-031-3-4-partial-fraction-decomposition-pfd,2080857,MTH-252,31,3.4 Partial Fraction Decomposition (PFD),00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,7
mod-mth-252-032-2-1areas-between-curves,2080857,MTH-252,32,2.1Areas Between Curves,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,5
mod-mth-252-033-2-2-volume-by-slicing,2080857,MTH-252,33,2.2 Volume by Slicing,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,9
mod-mth-252-034-2-3-volumes-of-revolution-shell-method,2080857,MTH-252,34,2.3 Volumes of Revolution: Shell Method,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,5
mod-mth-252-035-2-4-arc-length,2080857,MTH-252,35,2.4 Arc Length,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,5
mod-mth-252-036-2-5-physical-applications,2080857,MTH-252,36,2.5 Physical Applications,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,10
mod-mth-252-037-3-7-improper-integrals,2080857,MTH-252,37,3.7 Improper Integrals,00002-mth-252-modules-course-modules-integral-calculus-mth-252z-400-u2026,https://canvas.oregonstate.edu/courses/2080857/modules,8
mod-mth-253-001-start-here,2053263,MTH-253,1,Start Here,00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,https://canvas.oregonstate.edu/courses/2053263/modules,11
mod-mth-253-002-unit-1-week-1,2053263,MTH-253,2,Unit 1 - Week 1,00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,https://canvas.oregonstate.edu/courses/2053263/modules,10
mod-mth-253-003-unit-2-week-2-and-week-3,2053263,MTH-253,3,Unit 2 - Week 2 and Week 3,00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,https://canvas.oregonstate.edu/courses/2053263/modules,10
mod-mth-253-004-unit-3-weeks-4-5-and-6,2053263,MTH-253,4,"Unit 3 - Weeks 4, 5, and 6",00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,https://canvas.oregonstate.edu/courses/2053263/modules,11
mod-mth-253-005-unit-4-weeks-7-8-and-9,2053263,MTH-253,5,"Unit 4 - Weeks 7, 8, and 9",00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,https://canvas.oregonstate.edu/courses/2053263/modules,10
mod-mth-253-006-unit-5-covers-week-10,2053263,MTH-253,6,Unit 5 - Covers Week 10,00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,https://canvas.oregonstate.edu/courses/2053263/modules,8
mod-mth-253-007-finals-week,2053263,MTH-253,7,Finals Week,00010-mth-253-modules-course-modules-sequences-and-series-mth-253z-400-u2026,https://canvas.oregonstate.edu/courses/2053263/modules,7
mod-phy-212-001-start-here,2053526,PHY-212,1,Start Here,00018-phy-212-modules-course-modules-general-physics-with-calculus-ph-212-400-u2026,https://canvas.oregonstate.edu/courses/2053526/modules,6
mod-phy-212-002-course-information,2053526,PHY-212,2,Course information,00018-phy-212-modules-course-modules-general-physics-with-calculus-ph-212-400-u2026,https://canvas.oregonstate.edu/courses/2053526/modules,16
mod-phy-212-003-student-resources,2053526,PHY-212,3,Student resources,00018-phy-212-modules-course-modules-general-physics-with-calculus-ph-212-400-u2026,https://canvas.oregonstate.edu/courses/2053526/modules,6
mod-phy-212-004-module-1-circular-motion,2053526,PHY-212,4,Module 1 | Circular Motion,00018-phy-212-modules-course-modules-general-physics-with-calculus-ph-212-400-u2026,https://canvas.oregonstate.edu/courses/2053526/modules,10
mod-phy-212-005-module-2-rotation,2053526,PHY-212,5,Module 2 | Rotation,00018-phy-212-modules-course-modules-general-physics-with-calculus-ph-212-400-u2026,https://canvas.oregonstate.edu/courses/2053526/modules,7
mod-phy-212-006-module-3-gravity,2053526,PHY-212,6,Module 3 | Gravity,00018-phy-212-modules-course-modules-general-physics-with-calculus-ph-212-400-u2026,https://canvas.oregonstate.edu/courses/2053526/modules,5
mod-phy-212-007-module-4-oscillations,2053526,PHY-212,7,Module 4 | Oscillations,00018-phy-212-modules-course-modules-general-physics-with-calculus-ph-212-400-u2026,https://canvas.oregonstate.edu/courses/2053526/modules,4
mod-phy-212-008-module-5-waves,2053526,PHY-212,8,Module 5 | Waves,00018-phy-212-modules-course-modules-general-physics-with-calculus-ph-212-400-u2026,https://canvas.oregonstate.edu/courses/2053526/modules,7
