object_id,course_id,course_code,object_type,title,primary_category,classification_labels,importance,actionability,confidence,due_text,available_text,points_text,estimated_time,module_ids,module_titles,module_item_ids,issue_types,evidence_count,reason
obj-mth-252-assignment-10586057,2080857,MTH-252,assignment,Module 4 — Written Homework (WHW 4) 🕓 3 hours,graded_task,graded_task|critical_setup|prep_reading|lecture_video,high,action_required,high,Jul 20 by 11:59pm,,1.5,3 hours,mod-mth-252-009-module-4-introduction-to-applications,Module 4: Introduction to Applications,mi-mth-252-26982580,external_tool|redirected,5,assignment object|critical setup title/text signal|prep/reading title/text signal|video title/link signal
obj-mth-252-assignment-10586058,2080857,MTH-252,assignment,Module 5 — Written Homework (WHW 5) 🕓 3 hours,graded_task,graded_task,high,action_required,high,Jul 27 by 11:59pm,,1.5,3 hours,mod-mth-252-011-module-5-techniques-to-solve-integrals,Module 5: Techniques to Solve Integrals,mi-mth-252-26982594,redirected,5,assignment object
obj-mth-252-assignment-10586059,2080857,MTH-252,assignment,Module 6 — Written Homework (WHW 6) 🕓 3 hours,graded_task,graded_task,high,action_required,high,Aug 3 by 11:59pm,,5,3 hours,mod-mth-252-012-module-6-techniques-continued,Module 6: Techniques Continued,mi-mth-252-26982603,redirected,5,assignment object
obj-mth-252-assignment-10586060,2080857,MTH-252,assignment,Module 7 — Written Homework (WHW 7) 🕓 3 hours,graded_task,graded_task,high,action_required,high,Aug 10 by 11:59pm,,5,3 hours,mod-mth-252-014-module-7-applications-of-integration-graphical,Module 7: Applications of Integration - Graphical,mi-mth-252-26982617,redirected,5,assignment object
obj-mth-252-assignment-10586061,2080857,MTH-252,assignment,Module 8 — Written Homework (WHW 8) 🕓 3 hours,graded_task,graded_task,high,action_required,high,Aug 17 by 11:59pm,,5,3 hours,mod-mth-252-015-module-8-application-of-integration-graphical-and-real-world,Module 8: Application of Integration - Graphical and Real-World,mi-mth-252-26982626,redirected,5,assignment object
obj-mth-252-assignment-10586062,2080857,MTH-252,assignment,Module 9 — Written Homework (WHW 9) 🕓 3 hours,graded_task,graded_task,high,action_required,high,Aug 24 by 11:59pm,,5,3 hours,mod-mth-252-017-module-9-applications-of-integration-real-world,Module 9: Applications of Integration - Real-World,mi-mth-252-26982636,redirected,5,assignment object
obj-mth-252-assignment-10586063,2080857,MTH-252,assignment,Reflection 2,graded_task,graded_task,high,action_required,high,Jul 9 by 11:59pm,,5,,mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982559,external_tool|redirected,5,assignment object
obj-mth-252-assignment-10586064,2080857,MTH-252,assignment,Reflection 3,graded_task,graded_task,high,action_required,high,Aug 31 by 11:59pm,,5,,mod-mth-252-018-module-10-applications-of-integration-real-world,Module 10: Applications of Integration - Real World,mi-mth-252-26982647,external_tool|redirected,5,assignment object
obj-mth-252-assignment-syllabus,2080857,MTH-252,assignment,Syllabus for INTEGRAL CALCULUS (MTH_252Z_400_U2026),critical_setup,critical_setup|prep_reading,high,action_required,high,,,,3 hours,,,,,1,critical setup title/text signal|prep/reading title/text signal
obj-mth-252-course-page-https-canvas-oregonstate-edu-courses-2080857-announcements,2080857,MTH-252,course_page,Announcements: INTEGRAL CALCULUS (MTH_252Z_400_U2026),reference,course_navigation_surface,low,reference_only,high,,,,,,,,,1,course navigation/index surface
obj-mth-252-course-page-https-canvas-oregonstate-edu-courses-2080857,2080857,MTH-252,course_page,INTEGRAL CALCULUS (MTH_252Z_400_U2026),reference,course_navigation_surface|critical_setup|prep_reading,low,reference_only,high,,,,,,,,redirected,3,course navigation/index surface|critical setup title/text signal|prep/reading title/text signal
obj-mth-252-discussion-canvas-course-reference,2080857,MTH-252,discussion,Page Not Found,reference,reference,low,reference_only,medium,,,,,,,,,1,default retained reference
obj-mth-252-discussion-11606650,2080857,MTH-252,discussion,Topic: Gradescope Home Page --> WHW2 subs,graded_task,graded_task|critical_setup,high,action_required,high,,,,,,,,,1,task-like discussion object|critical setup title/text signal
obj-mth-252-discussion-11593475,2080857,MTH-252,discussion,Topic: Module 1 — Discussion Reflection: WHW 1 🕓 0.25 hour,graded_task,graded_task|prep_reading|lecture_video,high,action_required,high,,,715,0.25 hour,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums",mi-mth-252-26982552,redirected,4,task-like discussion object|prep/reading title/text signal|video title/link signal
obj-mth-252-discussion-11593474,2080857,MTH-252,discussion,Topic: Module 2 — Discussion Reflection 🕓 0.5 hour,graded_task,graded_task|prep_reading,high,action_required,high,,,1315,0.5 hour,mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,Module 2: Intro to Definite Integral and Properties,mi-mth-252-26982561,redirected,4,task-like discussion object|prep/reading title/text signal
obj-mth-252-discussion-11593473,2080857,MTH-252,discussion,Topic: Module 3 — Discussion Reflection: Mini-Exam 1 🕓 0.5 hour,graded_task,graded_task,high,action_required,high,Jul 10 at 11:59pm,,,0.5 hour,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus,Module 3: The Fundamental Theorems of Calculus,mi-mth-252-26982571,redirected,4,task-like discussion object
obj-mth-252-discussion-11593472,2080857,MTH-252,discussion,Topic: Module 4 — Discussion Reflection: WHW 4 🕓 0.5 hour,graded_task,graded_task,high,action_required,high,Jul 21 at 11:59pm,,,0.5 hour,mod-mth-252-009-module-4-introduction-to-applications,Module 4: Introduction to Applications,mi-mth-252-26982584,redirected,4,task-like discussion object
obj-mth-252-discussion-11593471,2080857,MTH-252,discussion,Topic: Module 5 — Discussion Reflection: Mini-Exam 2 🕓 0.5 hour,graded_task,graded_task,high,action_required,high,Jul 24 at 11:59pm,,,0.5 hour,mod-mth-252-011-module-5-techniques-to-solve-integrals,Module 5: Techniques to Solve Integrals,mi-mth-252-26982593,redirected,4,task-like discussion object
obj-mth-252-discussion-11593470,2080857,MTH-252,discussion,Topic: Module 6 — Discussion Reflection: WHW 6 🕓 0.5 hour,graded_task,graded_task,high,action_required,high,Aug 4 at 11:59pm,,,0.5 hour,mod-mth-252-012-module-6-techniques-continued,Module 6: Techniques Continued,mi-mth-252-26982604,redirected,4,task-like discussion object
obj-mth-252-discussion-11593469,2080857,MTH-252,discussion,Topic: Module 7 — Discussion Reflection: Mini-Exam 3 🕓 0.5 hour,graded_task,graded_task,high,action_required,high,Aug 7 at 11:59pm,,,0.5 hour,mod-mth-252-014-module-7-applications-of-integration-graphical,Module 7: Applications of Integration - Graphical,mi-mth-252-26982618,redirected,4,task-like discussion object
obj-mth-252-discussion-11593468,2080857,MTH-252,discussion,Topic: Module 8 — Discussion Reflection: WHW 8 🕓 0.5 hour,graded_task,graded_task,high,action_required,high,Aug 18 at 11:59pm,,,0.5 hour,mod-mth-252-015-module-8-application-of-integration-graphical-and-real-world,Module 8: Application of Integration - Graphical and Real-World,mi-mth-252-26982627,redirected,4,task-like discussion object
obj-mth-252-discussion-11593467,2080857,MTH-252,discussion,Topic: Module 9 — Discussion Reflection: Final and Exam Prep 🕓 0.5 hour,graded_task,graded_task,high,action_required,high,Aug 25 at 11:59pm,,,0.5 hour,mod-mth-252-017-module-9-applications-of-integration-real-world,Module 9: Applications of Integration - Real-World,mi-mth-252-26982637,redirected,4,task-like discussion object
obj-mth-252-discussion-11593476,2080857,MTH-252,discussion,Topic: Q&A Discussion,critical_setup,critical_setup|prep_reading|lecture_video,high,action_required,high,,,,,mod-mth-252-002-start-here,Start Here,mi-mth-252-26982539,redirected,3,critical setup title/text signal|prep/reading title/text signal|video title/link signal
obj-mth-252-discussions-https-canvas-oregonstate-edu-courses-2080857-discussion-topics,2080857,MTH-252,discussions,Discussions: INTEGRAL CALCULUS (MTH_252Z_400_U2026),reference,course_navigation_surface|prep_reading,low,reference_only,high,Jul 9,Jul 13,,0.25 hour,,,,,1,course navigation/index surface|prep/reading title/text signal
obj-mth-252-download-119223553,2080857,MTH-252,download,252-Lecture-1.1-to-ME1.pdf,prep_reading,prep_reading|lecture_video|file_reference,medium,prep_required,medium,,,,,,,,,8,prep/reading title/text signal|video title/link signal|download object
obj-mth-252-download-119223594,2080857,MTH-252,download,252-Lecture-1.3-to-ME2.pdf,prep_reading,prep_reading|lecture_video|file_reference,medium,prep_required,medium,,,,,,,,,8,prep/reading title/text signal|video title/link signal|download object
obj-mth-252-download-119223597,2080857,MTH-252,download,252-Lecture-2.1-to-ME4.pdf,critical_setup,critical_setup|prep_reading|lecture_video|file_reference,high,action_required,high,,,,,,,,,8,critical setup title/text signal|prep/reading title/text signal|video title/link signal|download object
obj-mth-252-download-119223598,2080857,MTH-252,download,252-Lecture-2.5-to-ME5.pdf,critical_setup,critical_setup|prep_reading|file_reference,high,action_required,high,,,,,,,,,8,critical setup title/text signal|prep/reading title/text signal|download object
obj-mth-252-download-119223561,2080857,MTH-252,download,252-Lecture-3.1-to-ME3.pdf,file_reference,file_reference,low,reference_only,medium,,,,,,,,,8,download object
obj-mth-252-download-119223565,2080857,MTH-252,download,Achieve Registration Process_v3.pdf,critical_setup,critical_setup|file_reference,high,action_required,high,,,,,,,,,4,critical setup title/text signal|download object
obj-mth-252-download-119353385,2080857,MTH-252,download,Download,critical_setup,critical_setup|prep_reading|lecture_video|file_reference|admin_policy,high,action_required,high,,,,,,,,,4,critical setup title/text signal|prep/reading title/text signal|video title/link signal|download object|admin/policy signal
obj-mth-252-download-119353386,2080857,MTH-252,download,Download,critical_setup,critical_setup|prep_reading|file_reference,high,action_required,high,,,,,,,,,4,critical setup title/text signal|prep/reading title/text signal|download object
obj-mth-252-download-119246095,2080857,MTH-252,download,Download,critical_setup,critical_setup|prep_reading|file_reference,high,action_required,high,,,,,,,,,6,critical setup title/text signal|prep/reading title/text signal|download object
obj-mth-252-download-119363995,2080857,MTH-252,download,Download,prep_reading,prep_reading|lecture_video|file_reference,medium,prep_required,medium,,,,,,,,,5,prep/reading title/text signal|video title/link signal|download object
obj-mth-252-download-119223514,2080857,MTH-252,download,Download,file_reference,file_reference,low,reference_only,medium,,,,,,,,,5,download object
obj-mth-252-download-119223497,2080857,MTH-252,download,Download,file_reference,file_reference,low,reference_only,medium,,,,,,,,,5,download object
obj-mth-252-download-119223574,2080857,MTH-252,download,Download,file_reference,file_reference,low,reference_only,medium,,,,,,,,,5,download object
obj-mth-252-download-119223566,2080857,MTH-252,download,Download,file_reference,file_reference,low,reference_only,medium,,,,,,,,,5,download object
obj-mth-252-download-119223617,2080857,MTH-252,download,Download,critical_setup,critical_setup|prep_reading|lecture_video|file_reference,high,action_required,high,,,,,,,,,6,critical setup title/text signal|prep/reading title/text signal|video title/link signal|download object
obj-mth-252-download-119223618,2080857,MTH-252,download,Download,lecture_video,lecture_video|file_reference,medium,prep_required,medium,,,,,,,,,6,video title/link signal|download object
obj-mth-252-download-119223455,2080857,MTH-252,download,Download,critical_setup,critical_setup|prep_reading|file_reference,high,action_required,high,,,,,,,,,8,critical setup title/text signal|prep/reading title/text signal|download object
obj-mth-252-download-119223623,2080857,MTH-252,download,Download,critical_setup,critical_setup|prep_reading|file_reference,high,action_required,high,,,,,,,,,8,critical setup title/text signal|prep/reading title/text signal|download object
obj-mth-252-download-119223452,2080857,MTH-252,download,Download,critical_setup,critical_setup|prep_reading|file_reference,high,action_required,high,,,,,,,,,8,critical setup title/text signal|prep/reading title/text signal|download object
obj-mth-252-download-119223459,2080857,MTH-252,download,Download,file_reference,file_reference|download_indexed_not_read,low,review_needed,low,,,,,,,,,2,download object|download link not parsed
obj-mth-252-download-99187575,2080857,MTH-252,download,IVP-Wksht1.pdf,file_reference,file_reference|download_indexed_not_read,low,review_needed,low,,,,,,,,,3,download object|download link not parsed
obj-mth-252-download-99187581,2080857,MTH-252,download,IVP-Wksht2.pdf,file_reference,file_reference|download_indexed_not_read,low,review_needed,low,,,,,,,,,3,download object|download link not parsed
obj-mth-252-download-119223466,2080857,MTH-252,download,Lecture-2.3-2.4.pdf,file_reference,file_reference,low,reference_only,medium,,,,,,,,,4,download object
obj-mth-252-download-119223595,2080857,MTH-252,download,Lecture-3.1-3.2.pdf,lecture_video,lecture_video|file_reference,medium,prep_required,medium,,,,,,,,,4,video title/link signal|download object
obj-mth-252-download-119223484,2080857,MTH-252,download,MLC Hours.pdf,file_reference,file_reference,low,reference_only,medium,,,,,,,,,4,download object
obj-mth-252-download-119223581,2080857,MTH-252,download,WHW1-Key.pdf,critical_setup,critical_setup|prep_reading|lecture_video|file_reference|admin_policy,high,action_required,high,,,,,,,,,3,critical setup title/text signal|prep/reading title/text signal|video title/link signal|download object|admin/policy signal
obj-mth-252-download-119223525,2080857,MTH-252,download,WHW4-Template.pdf,file_reference,file_reference|download_indexed_not_read,low,review_needed,low,,,,,,,,,1,download object|download link not parsed
obj-mth-252-file-119223553,2080857,MTH-252,file,252-Lecture-1.1-to-ME1.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),prep_reading,prep_reading|file_reference,medium,prep_required,medium,,,,,mod-mth-252-005-module-1-intro-to-riemann-sums-upper-lower-left-right-and-midpoint-riemann-sums|mod-mth-252-006-module-2-intro-to-definite-integral-and-properties,"Module 1: Intro to Riemann Sums: Upper, Lower, Left, Right, and Midpoint Riemann Sums|Module 2: Intro to Definite Integral and Properties",mi-mth-252-26982546|mi-mth-252-26982555,redirected,6,prep/reading title/text signal|file object
obj-mth-252-file-119223594,2080857,MTH-252,file,252-Lecture-1.3-to-ME2.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),prep_reading,prep_reading|file_reference,medium,prep_required,medium,,,,,mod-mth-252-008-module-3-the-fundamental-theorems-of-calculus|mod-mth-252-009-module-4-introduction-to-applications,Module 3: The Fundamental Theorems of Calculus|Module 4: Introduction to Applications,mi-mth-252-26982565|mi-mth-252-26982574,redirected,6,prep/reading title/text signal|file object
obj-mth-252-file-119223597,2080857,MTH-252,file,252-Lecture-2.1-to-ME4.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),prep_reading,prep_reading|file_reference,medium,prep_required,medium,,,,,mod-mth-252-014-module-7-applications-of-integration-graphical|mod-mth-252-015-module-8-application-of-integration-graphical-and-real-world,Module 7: Applications of Integration - Graphical|Module 8: Application of Integration - Graphical and Real-World,mi-mth-252-26982610|mi-mth-252-26982621,redirected,6,prep/reading title/text signal|file object
obj-mth-252-file-119223617,2080857,MTH-252,file,"252-Lecture-2.5-to-ME5 pages 5 - 8, 13 - 17, 19, 20-1-1.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",file_reference,file_reference,low,reference_only,medium,,,,,,,,,1,file object
obj-mth-252-file-119223618,2080857,MTH-252,file,"252-Lecture-2.5-to-ME5 pages 5 - 8, 13 - 17, 19, 20-1-2.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",file_reference,file_reference,low,reference_only,medium,,,,,,,,,1,file object
obj-mth-252-file-119223598,2080857,MTH-252,file,252-Lecture-2.5-to-ME5.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),prep_reading,prep_reading|file_reference,medium,prep_required,medium,,,,,mod-mth-252-017-module-9-applications-of-integration-real-world|mod-mth-252-018-module-10-applications-of-integration-real-world,Module 9: Applications of Integration - Real-World|Module 10: Applications of Integration - Real World,mi-mth-252-26982633|mi-mth-252-26982644,redirected,6,prep/reading title/text signal|file object
obj-mth-252-file-119223561,2080857,MTH-252,file,252-Lecture-3.1-to-ME3.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),prep_reading,prep_reading|file_reference,medium,prep_required,medium,,,,,mod-mth-252-011-module-5-techniques-to-solve-integrals|mod-mth-252-012-module-6-techniques-continued,Module 5: Techniques to Solve Integrals|Module 6: Techniques Continued,mi-mth-252-26982588|mi-mth-252-26982599,redirected,6,prep/reading title/text signal|file object
obj-mth-252-file-119223565,2080857,MTH-252,file,Achieve Registration Process_v3.pdf: INTEGRAL CALCULUS (MTH_252Z_400_U2026),critical_setup,critical_setup|file_reference,high,action_required,high,,,,,mod-mth-252-002-start-here,Start Here,mi-mth-252-26982524,redirected,3,critical setup title/text signal|file object
